"vertex1";"time";"sentiment";"content";"gender";"location";"ageRange";"vertex2";"relationship"
"naomi_diandra86";"31/12/2025 16.33.24";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung";"female";"Ciracas, Jakarta Timur ";"";"@indibiz_borneo";"mention"
"naomi_diandra86";"31/12/2025 16.33.24";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung";"female";"Ciracas, Jakarta Timur ";"";"@sapibiru88";"mention"
"naomi_diandra86";"31/12/2025 16.33.24";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung";"female";"Ciracas, Jakarta Timur ";"";"@ameliawy26";"mention"
"naomi_diandra86";"31/12/2025 16.33.24";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung";"female";"Ciracas, Jakarta Timur ";"";"@Hamiah_rahman31";"mention"
"naomi_diandra86";"31/12/2025 16.33.24";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung";"female";"Ciracas, Jakarta Timur ";"";"@indibiz_borneo";"mention"
"Kro2309Kro";"31/12/2025 13.08.23";"neutral";"'@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong";"male";"";"";"@indibiz_borneo";"mention"
"Kro2309Kro";"31/12/2025 13.08.23";"neutral";"'@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong";"male";"";"";"@14mkin";"mention"
"Kro2309Kro";"31/12/2025 13.08.23";"neutral";"'@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong";"male";"";"";"@easyynov";"mention"
"Kro2309Kro";"31/12/2025 13.08.23";"neutral";"'@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong";"male";"";"";"@hokibong";"mention"
"FitriYanti925";"31/12/2025 09.40.30";"neutral";"'@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"";"";"@indibiz_borneo";"mention"
"FitriYanti925";"31/12/2025 09.40.30";"neutral";"'@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"";"";"@indibiz_borneo";"mention"
"FitriYanti925";"31/12/2025 09.40.30";"neutral";"'@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"";"";"@indibiz_kaltim";"mention"
"FitriYanti925";"31/12/2025 09.40.30";"neutral";"'@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"";"";"@eta73_";"mention"
"FitriYanti925";"31/12/2025 09.40.30";"neutral";"'@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"";"";"@rini91_mg";"mention"
"radianttt_armor";"31/12/2025 13.25.21";"neutral";"'@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@indibiz_borneo";"mention"
"radianttt_armor";"31/12/2025 13.25.21";"neutral";"'@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@aldokhan77";"mention"
"radianttt_armor";"31/12/2025 13.25.21";"neutral";"'@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@mang_gayu17";"mention"
"radianttt_armor";"31/12/2025 13.25.21";"neutral";"'@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@Maulaa313";"mention"
"vievie_salindri";"31/12/2025 08.35.08";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck";"female";"Jakarta Capital Region";"";"@indibiz_borneo";"mention"
"vievie_salindri";"31/12/2025 08.35.08";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck";"female";"Jakarta Capital Region";"";"@indibiz_borneo";"mention"
"vievie_salindri";"31/12/2025 08.35.08";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck";"female";"Jakarta Capital Region";"";"@_banyu_biru21";"mention"
"vievie_salindri";"31/12/2025 08.35.08";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck";"female";"Jakarta Capital Region";"";"@idamariana49";"mention"
"vievie_salindri";"31/12/2025 08.35.08";"neutral";"'@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck";"female";"Jakarta Capital Region";"";"@naomi_diandra86";"mention"
"fitriafebrn";"31/12/2025 08.14.31";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"Lowokwaru, Indonesia";"";"@indibiz_borneo";"mention"
"fitriafebrn";"31/12/2025 08.14.31";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"Lowokwaru, Indonesia";"";"@indibiz_borneo";"mention"
"fitriafebrn";"31/12/2025 08.14.31";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"Lowokwaru, Indonesia";"";"@indibiz_kaltim";"mention"
"fitriafebrn";"31/12/2025 08.14.31";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"Lowokwaru, Indonesia";"";"@pupuputns";"mention"
"fitriafebrn";"31/12/2025 08.14.31";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"Lowokwaru, Indonesia";"";"@silviaysd";"mention"
"23Desihar";"31/12/2025 07.42.11";"positive";"'@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳";"female";"";"";"@Indibiz_ID";"mention"
"23Desihar";"31/12/2025 07.42.11";"positive";"'@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳";"female";"";"";"@Marcodef99";"mention"
"23Desihar";"31/12/2025 07.42.11";"positive";"'@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳";"female";"";"";"@bianikah";"mention"
"23Desihar";"31/12/2025 07.42.11";"positive";"'@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳";"female";"";"";"@eternaljin_";"mention"
"23Desihar";"31/12/2025 07.42.11";"positive";"'@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳";"female";"";"";"@kamellope";"mention"
"vievie_salindri";"31/12/2025 08.38.21";"neutral";"'@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏";"female";"Jakarta Capital Region";"";"@Indibizkti";"mention"
"vievie_salindri";"31/12/2025 08.38.21";"neutral";"'@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏";"female";"Jakarta Capital Region";"";"@Indibizkti";"mention"
"vievie_salindri";"31/12/2025 08.38.21";"neutral";"'@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏";"female";"Jakarta Capital Region";"";"@ChellzMoet93";"mention"
"vievie_salindri";"31/12/2025 08.38.21";"neutral";"'@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏";"female";"Jakarta Capital Region";"";"@Anisa__Nisha012";"mention"
"vievie_salindri";"31/12/2025 08.38.21";"neutral";"'@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏";"female";"Jakarta Capital Region";"";"@pandawa_lima83";"mention"
"sanjayaroni283";"31/12/2025 04.59.27";"neutral";"'@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin";"male";"";"";"@indibiz_borneo";"mention"
"sanjayaroni283";"31/12/2025 04.59.27";"neutral";"'@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin";"male";"";"";"@indibiz_borneo";"mention"
"sanjayaroni283";"31/12/2025 04.59.27";"neutral";"'@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin";"male";"";"";"@indibiz_kaltim";"mention"
"sanjayaroni283";"31/12/2025 04.59.27";"neutral";"'@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin";"male";"";"";"@_SekarWangi2025";"mention"
"sanjayaroni283";"31/12/2025 04.59.27";"neutral";"'@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin";"male";"";"";"@akang_aif5";"mention"
"sanjayaroni283";"31/12/2025 04.59.27";"neutral";"'@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin";"male";"";"";"@NaanaWiin";"mention"
"anto9990";"30/12/2025 03.22.16";"neutral";"'@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩";"";"Sumatera Utara, Indonesia";"";"@Indibiz_ID";"mention"
"anto9990";"30/12/2025 03.22.16";"neutral";"'@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩";"";"Sumatera Utara, Indonesia";"";"@Marcodef99";"mention"
"anto9990";"30/12/2025 03.22.16";"neutral";"'@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩";"";"Sumatera Utara, Indonesia";"";"@23Desihar";"mention"
"anto9990";"30/12/2025 03.22.16";"neutral";"'@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩";"";"Sumatera Utara, Indonesia";"";"@bianikah";"mention"
"anto9990";"30/12/2025 03.22.16";"neutral";"'@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩";"";"Sumatera Utara, Indonesia";"";"@eternaljin_";"mention"
"anto9990";"30/12/2025 03.22.16";"neutral";"'@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩";"";"Sumatera Utara, Indonesia";"";"@kamellope";"mention"
"UwoooH";"31/12/2025 07.25.20";"neutral";"'@indibiz_borneo Urutan D-A-B-C @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Tangerang, Banten";"";"@indibiz_borneo";"mention"
"UwoooH";"31/12/2025 07.25.20";"neutral";"'@indibiz_borneo Urutan D-A-B-C @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Tangerang, Banten";"";"@eta73_";"mention"
"UwoooH";"31/12/2025 07.25.20";"neutral";"'@indibiz_borneo Urutan D-A-B-C @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Tangerang, Banten";"";"@rini91_mg";"mention"
"woodymolky48";"31/12/2025 03.25.10";"positive";"'@indibiz_borneo Jawabannya: D - A -B - C ✅   Ikutan Yukk 🙏😊 @kalulutmeratus @Aishwabaha2022  Sukses terus min 😊 @indibiz_borneo  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Depok, Jawa Barat";"";"@indibiz_borneo";"mention"
"woodymolky48";"31/12/2025 03.25.10";"positive";"'@indibiz_borneo Jawabannya: D - A -B - C ✅   Ikutan Yukk 🙏😊 @kalulutmeratus @Aishwabaha2022  Sukses terus min 😊 @indibiz_borneo  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Depok, Jawa Barat";"";"@kalulutmeratus";"mention"
"woodymolky48";"31/12/2025 03.25.10";"positive";"'@indibiz_borneo Jawabannya: D - A -B - C ✅   Ikutan Yukk 🙏😊 @kalulutmeratus @Aishwabaha2022  Sukses terus min 😊 @indibiz_borneo  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Depok, Jawa Barat";"";"@Aishwabaha2022";"mention"
"woodymolky48";"31/12/2025 03.25.10";"positive";"'@indibiz_borneo Jawabannya: D - A -B - C ✅   Ikutan Yukk 🙏😊 @kalulutmeratus @Aishwabaha2022  Sukses terus min 😊 @indibiz_borneo  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Depok, Jawa Barat";"";"@indibiz_borneo";"mention"
"hanindyafeb";"31/12/2025 03.10.09";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @annisawulansari  @aulianufa  #Indibiz #IndibizBorneo #IndibizKaltim";"";"☀️";"";"@indibiz_borneo";"mention"
"hanindyafeb";"31/12/2025 03.10.09";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @annisawulansari  @aulianufa  #Indibiz #IndibizBorneo #IndibizKaltim";"";"☀️";"";"@indibiz_borneo";"mention"
"hanindyafeb";"31/12/2025 03.10.09";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @annisawulansari  @aulianufa  #Indibiz #IndibizBorneo #IndibizKaltim";"";"☀️";"";"@indibiz_kaltim";"mention"
"hanindyafeb";"31/12/2025 03.10.09";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @annisawulansari  @aulianufa  #Indibiz #IndibizBorneo #IndibizKaltim";"";"☀️";"";"@annisawulansari";"mention"
"hanindyafeb";"31/12/2025 03.10.09";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @annisawulansari  @aulianufa  #Indibiz #IndibizBorneo #IndibizKaltim";"";"☀️";"";"@aulianufa";"mention"
"Marcodef99";"31/12/2025 03.56.00";"positive";"'@Indibiz_ID @23Desihar @bianikah @eternaljin_ @kamellope Hadiah sudah diterima satu hari kerja kmrn Terima kasih @Indibiz_ID sukses 👍☺";"male";"Indonesia";"";"@Indibiz_ID";"mention"
"Marcodef99";"31/12/2025 03.56.00";"positive";"'@Indibiz_ID @23Desihar @bianikah @eternaljin_ @kamellope Hadiah sudah diterima satu hari kerja kmrn Terima kasih @Indibiz_ID sukses 👍☺";"male";"Indonesia";"";"@23Desihar";"mention"
"Marcodef99";"31/12/2025 03.56.00";"positive";"'@Indibiz_ID @23Desihar @bianikah @eternaljin_ @kamellope Hadiah sudah diterima satu hari kerja kmrn Terima kasih @Indibiz_ID sukses 👍☺";"male";"Indonesia";"";"@bianikah";"mention"
"Marcodef99";"31/12/2025 03.56.00";"positive";"'@Indibiz_ID @23Desihar @bianikah @eternaljin_ @kamellope Hadiah sudah diterima satu hari kerja kmrn Terima kasih @Indibiz_ID sukses 👍☺";"male";"Indonesia";"";"@eternaljin_";"mention"
"Marcodef99";"31/12/2025 03.56.00";"positive";"'@Indibiz_ID @23Desihar @bianikah @eternaljin_ @kamellope Hadiah sudah diterima satu hari kerja kmrn Terima kasih @Indibiz_ID sukses 👍☺";"male";"Indonesia";"";"@kamellope";"mention"
"Marcodef99";"31/12/2025 03.56.00";"positive";"'@Indibiz_ID @23Desihar @bianikah @eternaljin_ @kamellope Hadiah sudah diterima satu hari kerja kmrn Terima kasih @Indibiz_ID sukses 👍☺";"male";"Indonesia";"";"@Indibiz_ID";"mention"
"dwngraini";"31/12/2025 02.49.12";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @Nabilaa_putry  @alvinzuhendra   #Indibiz #IndibizBorneo #IndibizKaltim";"female";"MIE AYAM BU DEWI🍜";"";"@indibiz_borneo";"mention"
"dwngraini";"31/12/2025 02.49.12";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @Nabilaa_putry  @alvinzuhendra   #Indibiz #IndibizBorneo #IndibizKaltim";"female";"MIE AYAM BU DEWI🍜";"";"@indibiz_borneo";"mention"
"dwngraini";"31/12/2025 02.49.12";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @Nabilaa_putry  @alvinzuhendra   #Indibiz #IndibizBorneo #IndibizKaltim";"female";"MIE AYAM BU DEWI🍜";"";"@indibiz_kaltim";"mention"
"dwngraini";"31/12/2025 02.49.12";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @Nabilaa_putry  @alvinzuhendra   #Indibiz #IndibizBorneo #IndibizKaltim";"female";"MIE AYAM BU DEWI🍜";"";"@Nabilaa_putry";"mention"
"dwngraini";"31/12/2025 02.49.12";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @Nabilaa_putry  @alvinzuhendra   #Indibiz #IndibizBorneo #IndibizKaltim";"female";"MIE AYAM BU DEWI🍜";"";"@alvinzuhendra";"mention"
"fikriarya98";"31/12/2025 03.07.07";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @alifiyamalia @anitariskamelia  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"";"";"@indibiz_borneo";"mention"
"fikriarya98";"31/12/2025 03.07.07";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @alifiyamalia @anitariskamelia  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"";"";"@indibiz_borneo";"mention"
"fikriarya98";"31/12/2025 03.07.07";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @alifiyamalia @anitariskamelia  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"";"";"@indibiz_kaltim";"mention"
"fikriarya98";"31/12/2025 03.07.07";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @alifiyamalia @anitariskamelia  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"";"";"@alifiyamalia";"mention"
"fikriarya98";"31/12/2025 03.07.07";"neutral";"'@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @alifiyamalia @anitariskamelia  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"";"";"@anitariskamelia";"mention"
"junitamilass";"31/12/2025 02.18.17";"neutral";"'@indibiz_borneo Jawaban:  D - A -B - C  @indibiz_borneo @indibiz_kaltim  @YenniHerawati9 @FatinnClosed  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Purwakarta, Indonesia";"";"@indibiz_borneo";"mention"
"junitamilass";"31/12/2025 02.18.17";"neutral";"'@indibiz_borneo Jawaban:  D - A -B - C  @indibiz_borneo @indibiz_kaltim  @YenniHerawati9 @FatinnClosed  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Purwakarta, Indonesia";"";"@indibiz_borneo";"mention"
"junitamilass";"31/12/2025 02.18.17";"neutral";"'@indibiz_borneo Jawaban:  D - A -B - C  @indibiz_borneo @indibiz_kaltim  @YenniHerawati9 @FatinnClosed  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Purwakarta, Indonesia";"";"@indibiz_kaltim";"mention"
"junitamilass";"31/12/2025 02.18.17";"neutral";"'@indibiz_borneo Jawaban:  D - A -B - C  @indibiz_borneo @indibiz_kaltim  @YenniHerawati9 @FatinnClosed  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Purwakarta, Indonesia";"";"@YenniHerawati9";"mention"
"junitamilass";"31/12/2025 02.18.17";"neutral";"'@indibiz_borneo Jawaban:  D - A -B - C  @indibiz_borneo @indibiz_kaltim  @YenniHerawati9 @FatinnClosed  #Indibiz #IndibizBorneo #IndibizKaltim";"";"Purwakarta, Indonesia";"";"@FatinnClosed";"mention"
"rizonemohamad";"31/12/2025 00.48.06";"neutral";"'@indibiz_borneo Jawaban: Urutan D - A - B - C @indibiz_borneo  @indibiz_kaltim  Ayo sobat ikutan juga: @PGirilaya @sanjayaroni283 @AguscikTGM  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"Matraman, Indonesia";"";"@indibiz_borneo";"mention"
"rizonemohamad";"31/12/2025 00.48.06";"neutral";"'@indibiz_borneo Jawaban: Urutan D - A - B - C @indibiz_borneo  @indibiz_kaltim  Ayo sobat ikutan juga: @PGirilaya @sanjayaroni283 @AguscikTGM  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"Matraman, Indonesia";"";"@indibiz_borneo";"mention"
"rizonemohamad";"31/12/2025 00.48.06";"neutral";"'@indibiz_borneo Jawaban: Urutan D - A - B - C @indibiz_borneo  @indibiz_kaltim  Ayo sobat ikutan juga: @PGirilaya @sanjayaroni283 @AguscikTGM  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"Matraman, Indonesia";"";"@indibiz_kaltim";"mention"
"rizonemohamad";"31/12/2025 00.48.06";"neutral";"'@indibiz_borneo Jawaban: Urutan D - A - B - C @indibiz_borneo  @indibiz_kaltim  Ayo sobat ikutan juga: @PGirilaya @sanjayaroni283 @AguscikTGM  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"Matraman, Indonesia";"";"@PGirilaya";"mention"
"rizonemohamad";"31/12/2025 00.48.06";"neutral";"'@indibiz_borneo Jawaban: Urutan D - A - B - C @indibiz_borneo  @indibiz_kaltim  Ayo sobat ikutan juga: @PGirilaya @sanjayaroni283 @AguscikTGM  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"Matraman, Indonesia";"";"@sanjayaroni283";"mention"
"rizonemohamad";"31/12/2025 00.48.06";"neutral";"'@indibiz_borneo Jawaban: Urutan D - A - B - C @indibiz_borneo  @indibiz_kaltim  Ayo sobat ikutan juga: @PGirilaya @sanjayaroni283 @AguscikTGM  #Indibiz #IndibizBorneo #IndibizKaltim";"male";"Matraman, Indonesia";"";"@AguscikTGM";"mention"
"darapramesa";"31/12/2025 00.40.20";"neutral";"'@indibiz_borneo Jawaban: Urutan D-A-B-C @mahcimut022 @Wawan19101974  #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@indibiz_borneo";"mention"
"darapramesa";"31/12/2025 00.40.20";"neutral";"'@indibiz_borneo Jawaban: Urutan D-A-B-C @mahcimut022 @Wawan19101974  #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@mahcimut022";"mention"
"darapramesa";"31/12/2025 00.40.20";"neutral";"'@indibiz_borneo Jawaban: Urutan D-A-B-C @mahcimut022 @Wawan19101974  #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@Wawan19101974";"mention"
"thepanduras";"31/12/2025 00.27.44";"neutral";"'@indibiz_borneo Jawaban: Urutan D-A-B-C @anita_inu @HusnulC07   #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@indibiz_borneo";"mention"
"thepanduras";"31/12/2025 00.27.44";"neutral";"'@indibiz_borneo Jawaban: Urutan D-A-B-C @anita_inu @HusnulC07   #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@anita_inu";"mention"
"thepanduras";"31/12/2025 00.27.44";"neutral";"'@indibiz_borneo Jawaban: Urutan D-A-B-C @anita_inu @HusnulC07   #Indibiz #IndibizBorneo #IndibizKaltim";"";"";"";"@HusnulC07";"mention"
"syifaputrili";"31/12/2025 01.04.20";"neutral";"'@indibiz_borneo Jawaban:  D - A -B - C  @indibiz_borneo @indibiz_kaltim  @AngraenSety @zatunnisanur  #Indibiz #IndibizBorneo #IndibizKaltim";"female";"Bekasi Selatan, Indonesia";"";"@indibiz_borneo";"mention"
